PROFILE,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC
262,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333
500,0.054398,0.054697,0.072985,0.093781,0.093861,0.116776,0.105095,0.117174,0.092587,0.082169,0.070318,0.046159
501,0.051244,0.045469,0.053063,0.059753,0.087119,0.110208,0.132539,0.126499,0.10583,0.104487,0.066113,0.057676
258,0.082834,0.082834,0.081836,0.081836,0.081836,0.083832,0.083832,0.083832,0.08483,0.08483,0.08483,0.082834
502,0.021510249,0.022344782,0.035142284,0.061351074,0.104661972,0.147222401,0.174729283,0.166247823,0.123508679,0.077861444,0.035080916,0.030339093
140,0.08008008,0.08008008,0.079079079,0.079079079,0.079079079,0.087087087,0.087087087,0.087087087,0.087087087,0.087087087,0.087087087,0.08008008
169,0.080838323,0.080838323,0.079840319,0.079840319,0.079840319,0.086826347,0.086826347,0.086826347,0.085828343,0.085828343,0.085828343,0.080838323
173,0.080838323,0.080838323,0.081836327,0.081836327,0.081836327,0.085828343,0.085828343,0.085828343,0.084830339,0.084830339,0.084830339,0.080838323
199,0.082082082,0.082082082,0.081081081,0.081081081,0.081081081,0.085085085,0.085085085,0.085085085,0.085085085,0.085085085,0.085085085,0.082082082
253,0.083083083,0.083083083,0.081081081,0.081081081,0.081081081,0.084084084,0.084084084,0.084084084,0.085085085,0.085085085,0.085085085,0.083083083
257,0.083083083,0.083083083,0.082082082,0.082082082,0.082082082,0.084084084,0.084084084,0.084084084,0.084084084,0.084084084,0.084084084,0.083083083
260,0.082587065,0.082587065,0.08159204,0.08159204,0.08159204,0.084577114,0.084577114,0.084577114,0.084577114,0.084577114,0.084577114,0.082587065
266,0.083083083,0.083083083,0.083083083,0.083083083,0.083083083,0.084084084,0.084084084,0.084084084,0.083083083,0.083083083,0.083083083,0.083083083
287,0.084084084,0.084084084,0.079079079,0.079079079,0.079079079,0.084084084,0.084084084,0.084084084,0.086086086,0.086086086,0.086086086,0.084084084
